WELL_ID,DATE,CURRENT,PRESS_DESC,FREQUENCY,PRESS_INT,TEMP_INT,TEMP_MOT,OUT_VOLT,VIBRATION,PRESS_INTK,TEMP_INTK,WellFailure
DEEPWATER-3PEB5I,2020-01-01 08:02:22,,3742.3,,,232.2,276.39999,,,,,
DEEPWATER-05YWY5,2020-01-01 08:04:26,,0.0,,94906.898,32.0,30.200001,,,,,
DEEPWATER-3PEB5I,2020-01-01 08:05:22,,3745.0999,54.5,,232.3,,,,,,
DEEPWATER-3FD330,2020-01-01 08:05:31,,3308.7998,,963.90002,222.3,338.69998,,0.60040712,,,
DEEPWATER-SGG1UU,2020-01-01 08:06:14,,3895.0999,,495.89999000000006,230.7,330.10001,,0.30020356,,,
DEEPWATER-QMGS25,2020-01-01 08:07:27,,0.0,,0.0,-1.5258788999999998e-06,-1.5258788999999998e-06,,0.0,,,
DEEPWATER-55X0XE,2020-01-01 08:10:27,,4024.5999,,399.70001,240.10001,276.39999,,0.30020356,,,
DEEPWATER-DSU5DC,2020-01-01 08:11:11,,0.0,,0.0,-1.5258788999999998e-06,-1.5258788999999998e-06,,0.0,,,
DEEPWATER-3PEB5I,2020-01-01 08:11:22,,3749.9998,54.5,,232.3,276.39999,,,,,
DEEPWATER-RGVXVD,2020-01-01 08:11:48,,4221.3999,,439.19998,238.5,292.79999,,0.50033927,,,
DEEPWATER-WJXDET,2020-01-01 08:12:08,,94906.898,115.0,94906.898,30.200001,30.200001,,,,,
DEEPWATER-P1BYRC,2020-01-01 08:12:29,,4364.0996,,,235.8,282.69998,,,,,
DEEPWATER-55KSI1,2020-01-01 08:13:32,,4320.3999,,399.89999,239.5,271.0,,0.80054289,,,
DEEPWATER-2MK4DS,2020-01-01 08:14:15,,4106.1001,,247.5,244.2,276.30002,,0.30020356,,,
DEEPWATER-P0WEXD,2020-01-01 08:15:44,,4078.3997,56.0,,226.39999,318.69998,,,,,
DEEPWATER-MIVF4C,2020-01-01 08:20:00,,1975.2,,1647.2,226.39999,258.10001,,0.20013572,,,
DEEPWATER-CWHG4H,2020-01-01 08:20:00,,0.0,,0.0,32.0,32.0,,,,,
DEEPWATER-RKD3XC,2020-01-01 08:20:00,,0.0,,0.0,32.0,32.0,,0.0,,,
DEEPWATER-5RY0MV,2020-01-01 08:20:00,,,,297.10001,233.8,294.10001,,,,,
DEEPWATER-3FD330,2020-01-01 08:22:31,,3308.3999,,963.90002,222.3,339.10001,,0.50033927,,,
DEEPWATER-SGG1UU,2020-01-01 08:26:14,,3896.8997,,495.29999,230.7,329.89999,,0.30020356,,,
DEEPWATER-QMGS25,2020-01-01 08:27:27,,0.0,,0.0,-1.5258788999999998e-06,-1.5258788999999998e-06,,0.0,,,
DEEPWATER-3FD330,2020-01-01 08:28:31,,3308.3999,,963.90002,222.3,338.69998,,0.50033927,,,
DEEPWATER-55X0XE,2020-01-01 08:30:27,,4038.0,,398.29999,240.3,277.29999,,0.30020356,,,
DEEPWATER-DSU5DC,2020-01-01 08:31:11,,0.0,,0.0,-1.5258788999999998e-06,-1.5258788999999998e-06,,0.0,,,
DEEPWATER-3PEB5I,2020-01-01 08:31:22,,3747.5999,54.5,,232.2,276.39999,,,,,
DEEPWATER-RGVXVD,2020-01-01 08:31:48,,4219.8999,,439.09998,238.5,292.59998,,0.40027145,,,
DEEPWATER-WJXDET,2020-01-01 08:32:08,,94906.898,115.0,94906.898,30.200001,30.200001,,,,,
DEEPWATER-P1BYRC,2020-01-01 08:32:29,,4361.8999,,,235.8,281.79999,,,,,
DEEPWATER-55KSI1,2020-01-01 08:33:32,,4323.2002,,400.29999,239.5,271.0,,0.70047498,,,
DEEPWATER-2MK4DS,2020-01-01 08:34:15,,4105.1997,,247.40001,244.2,276.30002,,0.40027145,,,
DEEPWATER-P0WEXD,2020-01-01 08:35:44,,4088.8,56.0,,226.39999,318.0,,,,,
DEEPWATER-RKD3XC,2020-01-01 08:40:00,,0.0,,0.0,32.0,32.0,,0.0,,,
DEEPWATER-5RY0MV,2020-01-01 08:40:00,,,,297.10001,233.8,294.30002,,,,,
DEEPWATER-MIVF4C,2020-01-01 08:40:00,,1978.3999,,1647.4,226.39999,258.10001,,0.20013572,,,
DEEPWATER-CWHG4H,2020-01-01 08:40:00,,0.0,,0.0,32.0,32.0,,,,,
DEEPWATER-3FD330,2020-01-01 08:40:31,,3305.8999,,963.49994,222.3,338.89999,,0.60040712,,,
DEEPWATER-SGG1UU,2020-01-01 08:46:14,,3897.2998,,493.89999000000006,230.7,330.10001,,0.30020356,,,
DEEPWATER-3FD330,2020-01-01 08:46:31,,3306.7998,,963.19995,222.3,338.89999,,0.60040712,,,
DEEPWATER-QMGS25,2020-01-01 08:47:27,,0.0,,0.0,-1.5258788999999998e-06,-1.5258788999999998e-06,,0.0,,,
DEEPWATER-55X0XE,2020-01-01 08:50:27,,4034.4998,,397.89999,240.10001,277.0,,0.30020356,,,
DEEPWATER-3PEB5I,2020-01-01 08:51:22,,3747.8999,54.5,,232.3,276.39999,,,,,
DEEPWATER-WJXDET,2020-01-01 08:52:08,,94906.898,115.0,94906.898,30.200001,30.200001,,,,,
DEEPWATER-P1BYRC,2020-01-01 08:52:29,,4361.0,,,235.8,282.0,,,,,
DEEPWATER-55KSI1,2020-01-01 08:53:32,,4325.1997,,400.39999,239.5,271.19998,,0.80054289,,,
DEEPWATER-2MK4DS,2020-01-01 08:54:15,,4102.1997,,247.79999,244.2,276.39999,,0.40027145,,,
DEEPWATER-P0WEXD,2020-01-01 08:55:44,,4093.7,56.0,,226.39999,317.79999,,,,,
DEEPWATER-5RY0MV,2020-01-01 09:00:00,,,,297.20001,233.8,294.30002,,,,,
DEEPWATER-MIVF4C,2020-01-01 09:00:00,,1975.9,,1647.4,226.39999,258.10001,,0.20013572,,,
DEEPWATER-RKD3XC,2020-01-01 09:00:00,,0.0,,0.0,32.0,32.0,,0.0,,,
DEEPWATER-CWHG4H,2020-01-01 09:00:00,,0.0,,0.0,32.0,32.0,,,,,
DEEPWATER-05YWY5,2020-01-01 09:04:26,,0.0,,94906.898,32.0,30.200001,,,,,
DEEPWATER-3FD330,2020-01-01 09:05:31,,3304.7998,,962.89996,222.3,338.89999,,0.60040712,,,
DEEPWATER-SGG1UU,2020-01-01 09:06:14,,3892.7,,495.49997,230.7,330.10001,,0.30020356,,,
DEEPWATER-QMGS25,2020-01-01 09:07:27,,0.0,,0.0,-1.5258788999999998e-06,-1.5258788999999998e-06,,0.0,,,
DEEPWATER-55X0XE,2020-01-01 09:10:27,,4037.6001,,403.59998,240.3,276.39999,,0.30020356,,,
DEEPWATER-DSU5DC,2020-01-01 09:11:11,,0.0,,0.0,-1.5258788999999998e-06,-1.5258788999999998e-06,,0.0,,,
DEEPWATER-3PEB5I,2020-01-01 09:11:22,,,54.5,,,,,,,,
DEEPWATER-RGVXVD,2020-01-01 09:11:48,,4218.2998,,438.39996,238.3,292.30002,,0.40027145,,,
DEEPWATER-WJXDET,2020-01-01 09:12:08,,94906.898,115.0,94906.898,30.200001,30.200001,,,,,
DEEPWATER-P1BYRC,2020-01-01 09:12:29,,4347.0996,,,235.8,281.79999,,,,,
DEEPWATER-55KSI1,2020-01-01 09:13:32,,4325.1001,,400.59998,239.5,271.19998,,0.80054289,,,
DEEPWATER-2MK4DS,2020-01-01 09:14:15,,4104.2998,,247.7,244.2,276.30002,,0.40027145,,,
DEEPWATER-P0WEXD,2020-01-01 09:15:44,,4071.8,56.0,,226.39999,318.20001,,,,,
DEEPWATER-MIVF4C,2020-01-01 09:20:00,,1977.1,,1647.4,226.39999,258.10001,,0.0,,,
DEEPWATER-CWHG4H,2020-01-01 09:20:00,,0.0,,0.0,32.0,32.0,,,,,
DEEPWATER-RKD3XC,2020-01-01 09:20:00,,0.0,,0.0,32.0,32.0,,0.0,,,
DEEPWATER-5RY0MV,2020-01-01 09:20:00,,,,297.10001,233.8,294.30002,,,,,
DEEPWATER-05YWY5,2020-01-01 09:24:26,,0.0,,94906.898,32.0,30.200001,,,,,
