WELL_ID,DATE,CURRENT,PRESS_DESC,FREQUENCY,PRESS_INT,TEMP_INT,TEMP_MOT,OUT_VOLT,VIBRATION,PRESS_INTK,TEMP_INTK,WellFailure
DEEPWATER-VVBMZ0,2020-01-01 00:00:00,4.48,2659.06,0.55,,,105.57,0.0,2.55,1966.8,80.64,yes
DEEPWATER-VKCG0Y,2020-01-01 08:00:31,24.799999,4172.1997,54.0,460.5,235.39999,279.09998,425.10001,0.20013572,,,
DEEPWATER-BPUSBG,2020-01-01 08:03:01,62.700001,4226.0996,56.0,537.2000099999999,228.0,282.69998,426.60001,0.30020356,,,
DEEPWATER-TXV4MX,2020-01-01 08:03:47,39.0,0.0,55.400002,0.0,-3.0517577999999995e-06,-3.0517577999999995e-06,,0.0,,,
DEEPWATER-EU2FJA,2020-01-01 08:03:50,50.599998,3906.7,56.5,806.0,230.89999,282.89999,467.79999,1.1007465,,,
DEEPWATER-U3TTRI,2020-01-01 08:04:59,17.799999,7201.7998,48.0,746.39996,468.20002,527.59998,382.0,0.60040712,,,
DEEPWATER-DTL53P,2020-01-01 08:05:08,28.200001,4069.5999,52.0,325.0,237.60001,277.20001,395.10001,0.20013572,,,
DEEPWATER-XX0DST,2020-01-01 08:07:03,21.1,3771.5,61.700001,198.8,253.2,291.89999,414.89999,0.20013572,,,
DEEPWATER-1UBHZV,2020-01-01 08:07:35,25.9,4268.3999,52.0,269.29999,255.60001,284.0,480.5,0.50033927,,,
DEEPWATER-453GJ0,2020-01-01 08:09:35,31.799999,0.0,63.0,0.0,32.0,32.0,462.5,0.0,,,
DEEPWATER-BZZIEL,2020-01-01 08:10:33,35.799999,4018.3997,60.0,385.39996,233.39999,285.30002,459.20001,0.0,,,
DEEPWATER-GMAJKI,2020-01-01 08:11:10,0.0,0.0,0.0,0.0,32.0,32.0,0.0,0.0,,,
DEEPWATER-EEJC2O,2020-01-01 08:11:27,20.9,4120.5996,62.0,316.89999,251.10001,277.70001,468.79999,0.30020356,,,
DEEPWATER-4TYG1P,2020-01-01 08:12:05,0.0,4150.6001,0.0,4152.3999,222.8,223.5,0.0,0.10006786,,,
DEEPWATER-GROQ2A,2020-01-01 08:14:06,21.1,4129.2998,57.0,531.49994,230.89999,278.39999,448.10001,0.20013572,,,
DEEPWATER-AHJLPP,2020-01-01 08:14:11,28.0,3460.5999,59.900002,292.69998,244.0,280.39999,,0.40027145,,,
DEEPWATER-IDE13P,2020-01-01 08:14:28,65.099998,3841.9998,55.0,447.09998,228.60001,267.10001,437.0,0.40027145,,,
DEEPWATER-DTL53P,2020-01-01 08:15:08,28.200001,4066.5,52.0,325.10001,237.60001,277.20001,393.10001,0.20013572,,,
DEEPWATER-1WHBG2,2020-01-01 08:15:23,100.9,4695.2998,63.0,1985.8999,226.8,295.20001,,0.40027145,,,
DEEPWATER-MU3BOW,2020-01-01 08:16:11,66.0,3740.0999,51.0,725.90002,215.60001,281.29999,,0.30020356,,,
