WELL_ID,DATE,CURRENT,PRESS_DESC,FREQUENCY,PRESS_INT,TEMP_INT,TEMP_MOT,OUT_VOLT,VIBRATION,PRESS_INTK,TEMP_INTK,WellFailure
DEEPWATER-HOQZS1,2020-01-01 08:01:14,39.200001,4008.9998,59.0,354.20001,223.5,280.19998,459.89999000000006,,,,
DEEPWATER-IXZFOT,2020-01-01 08:01:54,20.9,3996.2,133.0,518.39996,243.5,319.10001,304.0,,,,
DEEPWATER-FS1PMT,2020-01-01 08:02:31,19.5,3649.8,62.900002,219.79999,245.09999,269.60001,,0.30020356,,,
DEEPWATER-000XAR,2020-01-01 08:02:47,,3729.0,55.0,1074.7999,225.0,318.89999,,0.30020356,,,
DEEPWATER-ROJ53V,2020-01-01 08:04:46,,3783.3999,48.5,224.49998,220.5,248.39999,,0.10006786,,,
DEEPWATER-W22D0A,2020-01-01 08:05:03,,3752.5999,52.900002,319.39999,243.70001,305.10001,,0.30020356,,,
DEEPWATER-PIK04Q,2020-01-01 08:05:14,54.0,3919.9998,53.0,502.39999000000006,235.0,274.10001,403.29999,0.30020356,,,
DEEPWATER-1AD32W,2020-01-01 08:05:25,33.0,3677.5999,55.400002,265.89999,233.39999,289.0,,0.20013572,,,
DEEPWATER-L4I1KA,2020-01-01 08:05:38,43.700001,,65.5,0.0,32.0,32.0,476.79999,0.0,,,
DEEPWATER-3J5ZXG,2020-01-01 08:08:45,,,59.5,,,,,,,,
DEEPWATER-WHXTPD,2020-01-01 08:10:00,30.200001,3786.0,53.5,302.5,192.0,221.5,,0.10006786,,,
DEEPWATER-DOA2ZP,2020-01-01 08:11:05,28.700001,4218.2998,70.0,779.49994,249.39999,286.29999,435.39999000000006,0.20013572,,,
DEEPWATER-XASUQA,2020-01-01 08:15:52,55.700001,3799.2,53.0,458.29999,225.0,274.5,399.60001,0.30020356,,,
DEEPWATER-EQEM2A,2020-01-01 08:15:57,59.0,3998.3999,,421.5,224.10001,281.79999,,0.20013572,,,
DEEPWATER-51ZYBC,2020-01-01 08:17:04,,3795.2,64.0,1112.7,222.39999,331.0,,0.40027145,,,
DEEPWATER-MECD2B,2020-01-01 08:17:53,,3947.8999,54.900002,309.10001,247.79999,284.40002000000004,,0.20013572,,,
DEEPWATER-RDAYRK,2020-01-01 08:20:00,46.400002,3942.8,56.5,482.19998,226.89999,252.89999,451.89999000000006,0.40027145,,,
DEEPWATER-GP0VTX,2020-01-01 08:20:00,38.5,3759.3,53.0,628.09998,225.70001,303.60001,401.60001,0.40027145,,,
DEEPWATER-GIF2OB,2020-01-01 08:20:00,15.2,3373.3,49.0,223.89999,208.60001,230.89999,,,,,
DEEPWATER-LQB3RR,2020-01-01 08:20:00,0.0,0.0,0.0,0.0,32.0,32.0,,,,,
DEEPWATER-WHXTPD,2020-01-01 08:20:00,30.200001,3788.7998,53.5,303.0,192.0,221.5,,0.10006786,,,
DEEPWATER-EKA0CA,2020-01-01 08:20:08,35.400002,7985.7778,158.0,1502.59094,461.08002,528.03998,434.0,,,,
DEEPWATER-HOQZS1,2020-01-01 08:21:14,39.299999,,59.0,,,,461.89999000000006,,,,
DEEPWATER-IXZFOT,2020-01-01 08:21:54,20.9,3996.2,133.0,518.2999900000001,243.60001,318.79999,304.0,,,,
DEEPWATER-000XAR,2020-01-01 08:22:47,,3732.6997,55.0,1075.6,225.0,318.60001,,0.30020356,,,
DEEPWATER-ROJ53V,2020-01-01 08:24:46,,3786.1001,48.400002,222.79999,220.3,246.60001,,0.20013572,,,
