WELL_ID,DATE,CURRENT,PRESS_DESC,FREQUENCY,PRESS_INT,TEMP_INT,TEMP_MOT,OUT_VOLT,VIBRATION,PRESS_INTK,TEMP_INTK,WellFailure,Estado,Estado_detallado
DEEPWATER-000XAR,2020-01-01 08:02:47,,3729.0,55.0,1074.7999,225.0,318.89999,,0.30020356,,,,Operativo,Otro
DEEPWATER-ROJ53V,2020-01-01 08:04:46,,3783.3999,48.5,224.49998,220.5,248.39999,,0.10006786,,,,Operativo,Otro
DEEPWATER-W22D0A,2020-01-01 08:05:03,,3752.5999,52.900002,319.39999,243.70001,305.10001,,0.30020356,,,,Operativo,Otro
DEEPWATER-3J5ZXG,2020-01-01 08:08:45,,,59.5,,,,,,,,,Operativo,Otro
DEEPWATER-51ZYBC,2020-01-01 08:17:04,,3795.2,64.0,1112.7,222.39999,331.0,,0.40027145,,,,Operativo,Otro
DEEPWATER-MECD2B,2020-01-01 08:17:53,,3947.8999,54.900002,309.10001,247.79999,284.40002000000004,,0.20013572,,,,Operativo,Otro
DEEPWATER-000XAR,2020-01-01 08:22:47,,3732.6997,55.0,1075.6,225.0,318.60001,,0.30020356,,,,Operativo,Otro
DEEPWATER-ROJ53V,2020-01-01 08:24:46,,3786.1001,48.400002,222.79999,220.3,246.60001,,0.20013572,,,,Operativo,Otro
DEEPWATER-W22D0A,2020-01-01 08:25:03,,3752.2,53.0,319.39999,243.70001,304.89999,,0.20013572,,,,Operativo,Otro
DEEPWATER-3J5ZXG,2020-01-01 08:28:45,,3687.5999,59.5,387.59998,233.8,256.30002,,0.20013572,,,,Operativo,Otro
DEEPWATER-51ZYBC,2020-01-01 08:37:04,,3795.8,64.0,1113.1,222.39999,331.20001,,0.40027145,,,,Operativo,Otro
DEEPWATER-000XAR,2020-01-01 08:42:47,,3725.5,55.0,1075.0,225.0,318.89999,,0.40027145,,,,Operativo,Otro
DEEPWATER-ROJ53V,2020-01-01 08:44:46,,3784.0999,48.400002,220.7,220.3,253.8,,0.20013572,,,,Operativo,Otro
DEEPWATER-W22D0A,2020-01-01 08:45:03,,3754.8999,53.0,319.29999,243.70001,305.10001,,0.30020356,,,,Operativo,Otro
DEEPWATER-3J5ZXG,2020-01-01 08:48:45,,3672.8,59.5,387.89999,233.8,255.7,,0.20013572,,,,Operativo,Degradación ⚠️
DEEPWATER-MECD2B,2020-01-01 08:56:53,,3953.5999,54.900002,309.19998,247.79999,284.5,,0.10006786,,,,Operativo,Otro
DEEPWATER-000XAR,2020-01-01 09:02:47,,3729.2,55.0,1074.9,225.0,318.89999,,0.40027145,,,,Operativo,Otro
