date,prueba_de_produccion_petróleo_a_24_horas_bbld,prueba_de_producción_gas_a_24_horas_mcfd,bsw_pct,gravedad_api_del_petroleo,salinidad_ppm_pu,presion_de_intake_psi,frecuencia_bomba_hz,amperaje_bomba_amp,presion_de_tubing_psi,presion_de_casing_psi,temperatura_de_la_bomba_deg_f,etapas_de_la_bomba,delta_1,slope_7,slope_14,ratio14,pred_evento
2015-02-02,204.37,14.0,68.07,22.4,,,,,100.0,,,,,,,,0
2015-02-09,216.9,14.0,75.05,22.4,,,,,50.0,,,,229.43,,,,2
2015-03-05,99.29,14.0,73.92,22.4,,,,,290.0,,,,-488.75,-129.66,,,1
2015-04-05,205.33,14.0,74.02,22.4,,,,,260.0,,,,409.7,-3.76,,,1
2015-04-07,214.01,14.0,75.0,22.4,,,,,50.0,,,,65.55,35.28,35.28,,2
2015-05-05,304.62,14.0,74.01,22.4,,,,,250.0,,,,316.19,86.57,86.57,,2
2015-05-30,273.78,14.0,73.97,22.4,,,,,200.0,,,,-120.5,82.7,82.7,,1
2015-07-03,51.09,14.0,68.07,22.4,,,,,120.0,,,,-891.7,-14.46,-0.12,,1
2015-07-05,301.73,14.0,73.98,22.4,,,,,250.0,,,,999.67,45.41,27.89,,2
2015-07-13,229.43,14.0,75.0,22.4,,,,,60.0,,,,-241.96,-0.83,27.43,,1
2015-07-18,229.43,14.0,75.0,22.4,,,,,70.0,,,,0.0,-7.71,25.93,,0
2015-08-09,214.01,14.0,75.03,22.4,,,,,60.0,,,,-60.73,-16.28,21.73,,0
2015-08-28,203.4,14.0,75.0,22.4,,,,,60.0,,,,-43.38,15.63,17.05,,0
2015-09-01,189.91,14.0,72.06,22.4,,,,,100.0,,,,-134.0,28.78,9.79,,1
2015-09-03,204.37,14.0,68.07,22.4,,,,,80.0,,,,-39.52,-76.4,-0.34,0.0,1
2015-09-18,215.94,14.0,75.06,22.4,,,,,60.0,,,,225.57,-31.74,3.54,-0.0,1
2015-09-22,214.97,14.0,75.03,22.4,,,,,70.0,,,,-4.82,-11.67,-8.82,1.26,1
2015-09-26,213.04,14.0,75.03,22.4,,,,,70.0,,,,-7.71,9.6,-10.0,0.08,0
2015-09-29,214.01,14.0,75.0,22.4,,,,,60.0,,,,2.89,24.82,-9.21,0.0,2
2015-11-01,217.86,14.0,67.94,22.4,,,,,100.0,,,,-176.41,14.98,-3.04,-0.42,0
2015-11-17,170.63,14.0,75.03,22.4,,,,,60.0,,,,3.86,-8.81,1.43,-0.35,0
2015-12-09,219.79,14.0,74.97,22.4,,,,,70.0,,,,194.72,-17.52,-16.31,4.49,2
2016-01-04,121.46,14.0,68.1,22.4,,,,,50.0,,,,-497.42,-55.81,-18.46,-0.67,1
2016-01-05,123.39,14.0,67.92,22.4,,,,,60.0,,,,3.86,-77.05,-25.05,-0.58,1
2016-01-10,238.11,14.0,68.0,22.4,,,,,60.0,,,,359.57,-43.86,-19.03,-0.19,1
2016-03-20,38.56,14.0,80.0,22.4,,,,,50.0,,,,-551.41,-65.45,-30.0,-0.78,1
2016-03-21,106.04,14.0,70.11,22.4,,,,,80.0,,,,161.95,-71.2,-34.86,-0.56,1
2016-03-22,154.24,14.0,59.9,22.4,,,,,52.0,,,,29.89,-61.59,-41.26,-0.43,1
2016-03-23,183.16,14.0,51.9,22.4,,,,,80.0,,,,-3.86,-13.91,-47.78,-0.41,0
2016-04-09,239.07,14.0,68.04,22.4,,,,,60.0,,,,367.28,19.83,-35.23,-0.14,2
2016-04-18,123.39,14.0,67.92,22.4,,,,,60.0,,,,-363.42,2.07,-32.71,-0.55,1
2016-04-22,121.46,14.0,68.1,22.4,,,,,50.0,,,,-3.86,35.26,-28.45,-0.55,1
