name_,date,prueba_de_produccion_petróleo_a_24_horas_bbld,prueba_de_producción_agua_a_24_horas_bbld,prueba_pozooil_24__prueba_pozowater_24,prueba_de_producción_gas_a_24_horas_mcfd,bsw_pct,gravedad_api_del_petroleo,salinidad_ppm_pu,presion_de_intake_psi,frecuencia_bomba_hz,amperaje_bomba_amp,presion_de_tubing_psi,presion_de_casing_psi,tipo_de_bomba,temperatura_de_la_bomba_deg_f,etapas_de_la_bomba,campo,delta_1,delta_3,slope_7,slope_14,evento_hibrido,Unnamed: 23,regimen_id,qtot_lo,qtot_hi,gas_hi,hz_hi,pint_lo,qtot_lo_p,qtot_hi_p,gas_hi_p,hz_hi_p,pint_lo_p,qtot_lo_eff,qtot_hi_eff,gas_hi_eff,hz_hi_eff,pint_lo_eff,env_q,env_gate,slope7_mean,slope7_std,d1_p,Qt_prev14,ratio14,confirm,enough,fuera_inst,alarma_instantanea,persist,persist_ref,pred_evento
SCH-007U,2015-02-02,204.37,435.73,640.1,14.0,68.07,22.4,,,,,100.0,,D725N,,,SACHA NORTE 1,,,,,0,,SCH-007U||D725N,,,,,,1162.0,1514.0,106.35,64.5,804.5,1162.0,1514.0,106.35,64.5,804.5,0,0,1.59,23.19,104.49,,,0,1,1,0,0,0,0
SCH-007U,2015-02-09,216.9,652.63,869.53,14.0,75.05,22.4,,,,,50.0,,,,,SACHA NORTE 1,229.43,,,,2,,SCH-007U||NA,661.0,683.8,43.53,62.0,1025.0,1162.0,1514.0,106.35,64.5,804.5,661.0,683.8,43.53,62.0,1025.0,0,0,1.59,23.19,104.49,,,1,1,1,1,0,0,2
SCH-007U,2015-03-05,99.29,281.49,380.78,14.0,73.92,22.4,,,,,290.0,,TD450,,,SACHA NORTE 1,-488.75,,-129.66,,1,,SCH-007U||TD450,,,,,,1162.0,1514.0,106.35,64.5,804.5,1162.0,1514.0,106.35,64.5,804.5,0,0,1.59,23.19,104.49,,,1,1,1,1,1,1,1
SCH-007U,2015-04-05,205.33,585.15,790.48,14.0,74.02,22.4,,,,,260.0,,TD450,,,SACHA NORTE 1,409.7,150.38,-3.76,,2,,SCH-007U||TD450,,,,,,1162.0,1514.0,106.35,64.5,804.5,1162.0,1514.0,106.35,64.5,804.5,0,0,1.59,23.19,104.49,,,1,1,1,1,1,0,1
SCH-007U,2015-04-07,214.01,642.02,856.03,14.0,75.0,22.4,,,,,50.0,,,,,SACHA NORTE 1,65.55,-13.5,35.28,35.28,0,,SCH-007U||NA,661.0,683.8,43.53,62.0,1025.0,1162.0,1514.0,106.35,64.5,804.5,661.0,683.8,43.53,62.0,1025.0,0,0,1.59,23.19,104.49,,,1,1,1,1,1,1,2
SCH-007U,2015-05-05,304.62,867.6,1172.22,14.0,74.01,22.4,,,,,250.0,,,,,SACHA NORTE 1,316.19,791.44,86.57,86.57,2,,SCH-007U||NA,661.0,683.8,43.53,62.0,1025.0,1162.0,1514.0,106.35,64.5,804.5,661.0,683.8,43.53,62.0,1025.0,0,0,1.59,23.19,104.49,,,1,1,1,1,1,0,2
SCH-007U,2015-05-30,273.78,777.95,1051.72,14.0,73.97,22.4,,,,,200.0,,,,,SACHA NORTE 1,-120.5,261.24,82.7,82.7,1,,SCH-007U||NA,661.0,683.8,43.53,62.0,1025.0,1162.0,1514.0,106.35,64.5,804.5,661.0,683.8,43.53,62.0,1025.0,0,0,1.59,23.19,104.49,,,1,1,1,1,1,1,1
SCH-007U,2015-07-03,51.09,108.93,160.02,14.0,68.07,22.4,,,,,120.0,,,,,SACHA NORTE 1,-891.7,-696.01,-14.46,-0.12,1,,SCH-007U||NA,661.0,683.8,43.53,62.0,1025.0,1162.0,1514.0,106.35,64.5,804.5,661.0,683.8,43.53,62.0,1025.0,0,0,1.59,23.19,104.49,,,1,1,1,1,1,0,1
SCH-007U,2015-07-05,301.73,857.96,1159.69,14.0,73.98,22.4,,,,,250.0,,P18 SSD,,,SACHA NORTE 1,999.67,-12.53,45.41,27.89,2,,SCH-007U||P18 SSD,,,,,,1162.0,1514.0,106.35,64.5,804.5,1162.0,1514.0,106.35,64.5,804.5,0,0,1.59,23.19,104.49,,,1,1,1,1,1,1,2
SCH-007U,2015-07-13,229.43,688.3,917.73,14.0,75.0,22.4,,,,,60.0,,P8 SSD,,,SACHA NORTE 1,-241.96,-133.99,-0.83,27.43,1,,SCH-007U||P8 SSD,,,,,,1162.0,1514.0,106.35,64.5,804.5,1162.0,1514.0,106.35,64.5,804.5,0,0,1.59,23.19,104.49,,,1,1,1,1,1,0,1
SCH-007U,2015-07-18,229.43,688.3,917.73,14.0,75.0,22.4,,,,,70.0,,P12SSD,,,SACHA NORTE 1,0.0,757.71,-7.71,25.93,0,,SCH-007U||P12SSD,,,,,,1162.0,1514.0,106.35,64.5,804.5,1162.0,1514.0,106.35,64.5,804.5,0,0,1.59,23.19,104.49,,,0,1,1,0,0,0,0
SCH-007U,2015-08-09,214.01,642.99,857.0,14.0,75.03,22.4,,,,,60.0,,,,,SACHA NORTE 1,-60.73,-302.69,-16.28,21.73,0,,SCH-007U||NA,661.0,683.8,43.53,62.0,1025.0,1162.0,1514.0,106.35,64.5,804.5,661.0,683.8,43.53,62.0,1025.0,0,0,1.59,23.19,104.49,,,0,1,1,0,0,0,0
SCH-007U,2015-08-28,203.4,610.21,813.62,14.0,75.0,22.4,,,,,60.0,,NHV200,,,SACHA NORTE 1,-43.38,-104.11,15.63,17.05,0,,SCH-007U||NHV200,,,,,,1162.0,1514.0,106.35,64.5,804.5,1162.0,1514.0,106.35,64.5,804.5,0,0,1.59,23.19,104.49,,,0,1,1,0,0,0,0
SCH-007U,2015-09-01,189.91,489.71,679.62,14.0,72.06,22.4,,,,,100.0,,DN800,,,SACHA NORTE 1,-134.0,-238.11,28.78,9.79,1,,SCH-007U||DN800,,,,,,1162.0,1514.0,106.35,64.5,804.5,1162.0,1514.0,106.35,64.5,804.5,0,0,1.59,23.19,104.49,,,1,1,1,1,0,0,1
SCH-007U,2015-09-03,204.37,435.73,640.1,14.0,68.07,22.4,,,,,80.0,,TD460 (7/29/2004),,,SACHA NORTE 1,-39.52,-216.9,-76.4,-0.34,1,,SCH-007U||TD460 (7/29/2004),,,,,,1162.0,1514.0,106.35,64.5,804.5,1162.0,1514.0,106.35,64.5,804.5,0,0,1.59,23.19,104.49,640.1,0.0,1,1,1,1,1,1,1
SCH-007U,2015-09-18,215.94,649.74,865.67,14.0,75.06,22.4,,,,,60.0,,,,,SACHA NORTE 1,225.57,52.05,-31.74,3.54,2,,SCH-007U||NA,661.0,683.8,43.53,62.0,1025.0,1162.0,1514.0,106.35,64.5,804.5,661.0,683.8,43.53,62.0,1025.0,0,0,1.59,23.19,104.49,869.53,-0.0,1,1,1,1,1,0,1
SCH-007U,2015-09-22,214.97,645.88,860.85,14.0,75.03,22.4,,,,,70.0,,D1150N,,,SACHA NORTE 1,-4.82,181.23,-11.67,-8.82,0,,SCH-007U||D1150N,,,,,,1162.0,1514.0,106.35,64.5,804.5,1162.0,1514.0,106.35,64.5,804.5,0,0,1.59,23.19,104.49,380.78,1.26,1,1,1,1,1,1,1
SCH-007U,2015-09-26,213.04,640.1,853.14,14.0,75.03,22.4,,,,,70.0,,D1150N,,,SACHA NORTE 1,-7.71,213.04,9.6,-10.0,0,,SCH-007U||D1150N,,,,,,1162.0,1514.0,106.35,64.5,804.5,1162.0,1514.0,106.35,64.5,804.5,0,0,1.59,23.19,104.49,790.48,0.08,0,1,1,0,0,0,0
SCH-007U,2015-09-29,214.01,642.02,856.03,14.0,75.0,22.4,,,,,60.0,,D800N,,,SACHA NORTE 1,2.89,-9.64,24.82,-9.21,0,,SCH-007U||D800N,,,,,,1162.0,1514.0,106.35,64.5,804.5,1162.0,1514.0,106.35,64.5,804.5,0,0,1.59,23.19,104.49,856.03,0.0,1,1,1,1,0,0,2
SCH-007U,2015-11-01,217.86,461.76,679.62,14.0,67.94,22.4,,,,,100.0,,,,,SACHA NORTE 1,-176.41,-181.23,14.98,-3.04,1,,SCH-007U||NA,661.0,683.8,43.53,62.0,1025.0,1162.0,1514.0,106.35,64.5,804.5,661.0,683.8,43.53,62.0,1025.0,1,0,1.59,23.19,104.49,1172.22,-0.42,1,1,0,0,0,0,0
